"month","year","park","ndvi_monthly_mean","scaled_mean_ndvi"
1,2000,"AULA",0.0208450738414739,0.510422536920737
2,2000,"AULA",0.141207964229024,0.570603982114512
4,2000,"AULA",0.170955865279469,0.585477932639734
6,2000,"AULA",0.176283144485518,0.588141572242759
7,2000,"AULA",0.0607305176758374,0.530365258837919
8,2000,"AULA",0.0060160653194941,0.503008032659747
9,2000,"AULA",0.0182227492187048,0.509111374609352
11,2000,"AULA",0.0676083445594015,0.533804172279701
12,2000,"AULA",0.0664366771612341,0.533218338580617
1,2001,"AULA",-0.0165616232324223,0.491719188383789
2,2001,"AULA",0.0720868940796172,0.536043447039809
4,2001,"AULA",0.111494995827486,0.555747497913743
6,2001,"AULA",0.150765852171635,0.575382926085818
7,2001,"AULA",0.0199878095674506,0.509993904783725
8,2001,"AULA",-0.0155065401375411,0.492246729931229
9,2001,"AULA",-0.0259831563036066,0.487008421848197
11,2001,"AULA",0.0376090891888052,0.518804544594403
12,2001,"AULA",0.0182076647857921,0.509103832392896
1,2002,"AULA",0.13508748546383,0.567543742731915
2,2002,"AULA",-0.0187204809638209,0.49063975951809
3,2002,"AULA",0.0286624814757613,0.514331240737881
6,2002,"AULA",0.112652668607473,0.556326334303736
7,2002,"AULA",0.0240115742549239,0.512005787127462
8,2002,"AULA",-0.0189735465841198,0.49051322670794
9,2002,"AULA",-0.0254308737029097,0.487284563148545
11,2002,"AULA",-0.0181134263365265,0.490943286831737
12,2002,"AULA",0.0145081173844424,0.507254058692221
1,2003,"AULA",-0.020472606710824,0.489763696644588
2,2003,"AULA",0.0689402028707471,0.534470101435374
4,2003,"AULA",-0.0383166246593152,0.480841687670342
6,2003,"AULA",0.0899299246099595,0.54496496230498
7,2003,"AULA",-0.0369270434374291,0.481536478281285
8,2003,"AULA",-0.0195895885690592,0.49020520571547
9,2003,"AULA",-0.0286810095142883,0.485659495242856
11,2003,"AULA",-0.0213727639443425,0.489313618027829
12,2003,"AULA",-0.00241016691560899,0.498794916542195
1,2004,"AULA",-0.0168201955680417,0.491589902215979
2,2004,"AULA",0.0204719390230397,0.51023596951152
4,2004,"AULA",-0.0342363186037062,0.482881840698147
6,2004,"AULA",0.103097822150196,0.551548911075098
7,2004,"AULA",-0.0197005466935813,0.490149726653209
8,2004,"AULA",-0.0166038499435846,0.491698075028208
9,2004,"AULA",-0.0143874505665928,0.492806274716704
11,2004,"AULA",-0.0236172523783073,0.488191373810846
12,2004,"AULA",-0.0159021605833829,0.492048919708309
1,2005,"AULA",-0.015485154096131,0.492257422951934
2,2005,"AULA",0.0392339421331682,0.519616971066584
4,2005,"AULA",-0.0203288170774916,0.489835591461254
6,2005,"AULA",0.0759009846016588,0.537950492300829
7,2005,"AULA",0.0473126962238639,0.523656348111932
8,2005,"AULA",-0.0143898993448289,0.492805050327586
9,2005,"AULA",-0.0236649949788182,0.488167502510591
11,2005,"AULA",-0.0135469750172325,0.493226512491384
12,2005,"AULA",0.0358978430103078,0.517948921505154
1,2006,"AULA",-0.0203107557667625,0.489844622116619
2,2006,"AULA",0.148945483514876,0.574472741757438
4,2006,"AULA",-0.0382024374915818,0.480898781254209
6,2006,"AULA",0.116159269594677,0.558079634797338
7,2006,"AULA",0.00392354726735085,0.501961773633675
8,2006,"AULA",-0.0163815743513389,0.491809212824331
9,2006,"AULA",-0.0402709106195292,0.479864544690235
11,2006,"AULA",-0.0247548654716104,0.487622567264195
12,2006,"AULA",0.0531878327310483,0.526593916365524
1,2007,"AULA",-0.0242412489609561,0.487879375519522
2,2007,"AULA",0.102184513484417,0.551092256742209
4,2007,"AULA",-0.0278173192501141,0.486091340374943
6,2007,"AULA",0.190428711884404,0.595214355942202
7,2007,"AULA",0.00212895919428997,0.501064479597145
8,2007,"AULA",-0.0185042389617525,0.490747880519124
9,2007,"AULA",-0.033363940594067,0.483318029702967
11,2007,"AULA",-0.0250205633190731,0.487489718340463
12,2007,"AULA",0.0254760184078468,0.512738009203923
1,2008,"AULA",-0.0190567621722259,0.490471618913887
2,2008,"AULA",0.0554271409089806,0.52771357045449
4,2008,"AULA",-0.0365874590624943,0.481706270468753
6,2008,"AULA",0.181375537340723,0.590687768670362
7,2008,"AULA",0.057863045580487,0.528931522790243
8,2008,"AULA",-0.0217291615045466,0.489135419247727
9,2008,"AULA",-0.0299124820295155,0.485043758985242
11,2008,"AULA",-0.0210520034588244,0.489473998270588
12,2008,"AULA",-0.0118079078748808,0.49409604606256
1,2009,"AULA",-0.0185348334774611,0.490732583261269
2,2009,"AULA",0.089561196979927,0.544780598489964
4,2009,"AULA",-0.0418876292114288,0.479056185394286
