"month","year","park","ndvi_monthly_mean"
1,2000,"AULA",0.0208450738414739
2,2000,"AULA",0.141207964229024
4,2000,"AULA",0.170955865279469
6,2000,"AULA",0.176283144485518
7,2000,"AULA",0.0607305176758374
8,2000,"AULA",0.0060160653194941
9,2000,"AULA",0.0182227492187048
11,2000,"AULA",0.0676083445594015
12,2000,"AULA",0.0664366771612341
1,2001,"AULA",-0.0165616232324223
2,2001,"AULA",0.0720868940796172
4,2001,"AULA",0.111494995827486
6,2001,"AULA",0.150765852171635
7,2001,"AULA",0.0199878095674506
8,2001,"AULA",-0.0155065401375411
9,2001,"AULA",-0.0259831563036066
11,2001,"AULA",0.0376090891888052
12,2001,"AULA",0.0182076647857921
1,2002,"AULA",0.13508748546383
2,2002,"AULA",-0.0187204809638209
3,2002,"AULA",0.0286624814757613
6,2002,"AULA",0.112652668607473
7,2002,"AULA",0.0240115742549239
8,2002,"AULA",-0.0189735465841198
9,2002,"AULA",-0.0254308737029097
11,2002,"AULA",-0.0181134263365265
12,2002,"AULA",0.0145081173844424
1,2003,"AULA",-0.020472606710824
2,2003,"AULA",0.0689402028707471
4,2003,"AULA",-0.0383166246593152
6,2003,"AULA",0.0899299246099595
7,2003,"AULA",-0.0369270434374291
8,2003,"AULA",-0.0195895885690592
9,2003,"AULA",-0.0286810095142883
11,2003,"AULA",-0.0213727639443425
12,2003,"AULA",-0.00241016691560899
1,2004,"AULA",-0.0168201955680417
2,2004,"AULA",0.0204719390230397
4,2004,"AULA",-0.0342363186037062
6,2004,"AULA",0.103097822150196
7,2004,"AULA",-0.0197005466935813
8,2004,"AULA",-0.0166038499435846
9,2004,"AULA",-0.0143874505665928
11,2004,"AULA",-0.0236172523783073
12,2004,"AULA",-0.0159021605833829
1,2005,"AULA",-0.015485154096131
2,2005,"AULA",0.0392339421331682
4,2005,"AULA",-0.0203288170774916
6,2005,"AULA",0.0759009846016588
7,2005,"AULA",0.0473126962238639
8,2005,"AULA",-0.0143898993448289
9,2005,"AULA",-0.0236649949788182
11,2005,"AULA",-0.0135469750172325
12,2005,"AULA",0.0358978430103078
1,2006,"AULA",-0.0203107557667625
2,2006,"AULA",0.148945483514876
4,2006,"AULA",-0.0382024374915818
6,2006,"AULA",0.116159269594677
7,2006,"AULA",0.00392354726735085
8,2006,"AULA",-0.0163815743513389
9,2006,"AULA",-0.0402709106195292
11,2006,"AULA",-0.0247548654716104
12,2006,"AULA",0.0531878327310483
1,2007,"AULA",-0.0242412489609561
2,2007,"AULA",0.102184513484417
4,2007,"AULA",-0.0278173192501141
6,2007,"AULA",0.190428711884404
7,2007,"AULA",0.00212895919428997
8,2007,"AULA",-0.0185042389617525
9,2007,"AULA",-0.033363940594067
11,2007,"AULA",-0.0250205633190731
12,2007,"AULA",0.0254760184078468
1,2008,"AULA",-0.0190567621722259
2,2008,"AULA",0.0554271409089806
4,2008,"AULA",-0.0365874590624943
6,2008,"AULA",0.181375537340723
7,2008,"AULA",0.057863045580487
8,2008,"AULA",-0.0217291615045466
9,2008,"AULA",-0.0299124820295155
11,2008,"AULA",-0.0210520034588244
12,2008,"AULA",-0.0118079078748808
1,2009,"AULA",-0.0185348334774611
2,2009,"AULA",0.089561196979927
4,2009,"AULA",-0.0418876292114288
6,2009,"AULA",0.0516574086698021
7,2009,"AULA",-0.0280462780326247
8,2009,"AULA",-0.0175438566596553
9,2009,"AULA",-0.0321492316560976
11,2009,"AULA",-0.0249340900631854
12,2009,"AULA",0.016230156725576
1,2000,"BANF",0.066930166920785
2,2000,"BANF",0.192190078779608
3,2000,"BANF",0.0851402464125787
4,2000,"BANF",0.083521079661532
5,2000,"BANF",0.0889906117437199
6,2000,"BANF",0.157271941421771
7,2000,"BANF",0.0856201856368309
8,2000,"BANF",0.0691221707261555
9,2000,"BANF",0.071595483918627
10,2000,"BANF",0.11995822798793
11,2000,"BANF",0.141260058565992
12,2000,"BANF",0.153652627466618
1,2001,"BANF",0.0462928403900246
2,2001,"BANF",0.207708376623377
3,2001,"BANF",0.103308063288387
4,2001,"BANF",0.0717789618971417
5,2001,"BANF",0.0995464664696521
6,2001,"BANF",0.158502323294228
7,2001,"BANF",0.0972147600717588
8,2001,"BANF",0.0625133384340714
9,2001,"BANF",0.0784582600084072
10,2001,"BANF",0.0837518785345976
11,2001,"BANF",0.133996967918541
12,2001,"BANF",0.203186375382751
1,2002,"BANF",0.0666840437900799
2,2002,"BANF",0.0475037099711546
3,2002,"BANF",0.164845462166536
4,2002,"BANF",0.0959783528586382
5,2002,"BANF",0.0751108807362594
6,2002,"BANF",0.17855655038123
7,2002,"BANF",0.0953497344933745
8,2002,"BANF",0.0418184500334072
9,2002,"BANF",0.0464483738578835
10,2002,"BANF",0.0891020490105698
11,2002,"BANF",0.0851177073989908
12,2002,"BANF",0.119156750098894
1,2003,"BANF",0.0420511448220165
2,2003,"BANF",0.162476709640779
3,2003,"BANF",0.0698639897758513
4,2003,"BANF",0.056821870739702
5,2003,"BANF",0.0781734240388338
6,2003,"BANF",0.199804507623541
7,2003,"BANF",0.092032282712348
8,2003,"BANF",0.0400341917734547
9,2003,"BANF",0.0330657796130227
10,2003,"BANF",0.0526018271228772
11,2003,"BANF",0.120366548482892
12,2003,"BANF",0.13624198983955
1,2004,"BANF",0.0599708364620575
2,2004,"BANF",0.117997098683514
3,2004,"BANF",0.0616073941070589
4,2004,"BANF",0.0653606562142406
5,2004,"BANF",0.0546647517680602
6,2004,"BANF",0.12260073738542
7,2004,"BANF",0.0771572301408652
8,2004,"BANF",0.0449503407139069
9,2004,"BANF",0.0415849432948956
10,2004,"BANF",0.0702276311651336
11,2004,"BANF",0.107195483617801
12,2004,"BANF",0.101862042848375
1,2005,"BANF",0.0615885118221697
2,2005,"BANF",0.17820781417362
3,2005,"BANF",0.07721910692914
4,2005,"BANF",0.0612905919861588
5,2005,"BANF",0.0690504783727027
6,2005,"BANF",0.120338711968189
7,2005,"BANF",0.0606978787101235
8,2005,"BANF",0.0506443796765459
9,2005,"BANF",0.0766452846854221
10,2005,"BANF",0.0813846034592886
11,2005,"BANF",0.0742987113301363
12,2005,"BANF",0.0954063378155167
1,2006,"BANF",0.0561591460535215
2,2006,"BANF",0.167090512462415
3,2006,"BANF",0.0589032142029069
4,2006,"BANF",0.0616626065208047
5,2006,"BANF",0.0662475517363947
6,2006,"BANF",0.176029332058951
7,2006,"BANF",0.123477736004694
8,2006,"BANF",0.0520504198362393
9,2006,"BANF",0.0729702513311146
10,2006,"BANF",0.0464608896616201
11,2006,"BANF",0.1310456243441
12,2006,"BANF",0.14672176685975
1,2007,"BANF",0.0379964445831222
2,2007,"BANF",0.14950608746626
3,2007,"BANF",0.0604607561050866
4,2007,"BANF",0.0442837010030107
5,2007,"BANF",0.0552033435728003
6,2007,"BANF",0.204544294453648
7,2007,"BANF",0.0938198798376108
8,2007,"BANF",0.0527365634460948
9,2007,"BANF",0.0442481354008393
10,2007,"BANF",0.0775750137381716
11,2007,"BANF",0.0865664961167478
12,2007,"BANF",0.148290105163827
1,2008,"BANF",0.0522116322579373
2,2008,"BANF",0.166727607986329
3,2008,"BANF",0.0533445190898958
4,2008,"BANF",0.0535611451985638
5,2008,"BANF",0.055109774892635
6,2008,"BANF",0.152732789418221
7,2008,"BANF",0.0793203449935994
8,2008,"BANF",0.0690177166803022
9,2008,"BANF",0.0421418307839584
10,2008,"BANF",0.0830008216765077
11,2008,"BANF",0.133861350107946
12,2008,"BANF",0.17419958187278
1,2009,"BANF",0.0534026052912579
2,2009,"BANF",0.183689548315715
3,2009,"BANF",0.0697024966777538
4,2009,"BANF",0.0737270275329771
