Incident Type,Month,Total Staff Hours 2010,Total Staff Hours 2011,Total Staff Hours 2012,Total Staff Hours 2013,Total Staff Hours 2014,Total Staff Hours 2015,Total Staff Hours 2016,Total Staff Hours 2017,Total Staff Hours 2018,Total Staff Hours 2019,Total Staff Hours 2020,Total Staff Hours 2021
Attractant,1,7.5,,2.5,4.5,6.5,3,5,4.25,5.00,6.17,31.250000022351742,23.25
Attractant,2,1.75,1,5.5,4.5,13,6.83,6.25,4.00,0.42,13.50,19.74999998509884,20.58333334326744
Attractant,3,8.5,,2,4,16.5,5,18.5,3.58,5.92,7.83,27.1666666790843,15.000000052154064
Attractant,4,7.5,2.54,5,4.25,74.5,6.25,6.68,8.25,10.58,28.42,13.58333334326744,32.41666680574417
Attractant,5,9.25,7.58,23.67,9,40,17.25,21.5,13.83,34.92,18.42,10.5,14.500000014901161
Attractant,6,8,4,5.5,8.17,13,6,9,12.00,24.42,16.50,16.583333402872086,45.33333336561918
Attractant,7,5,7.25,7.75,15.07,7,18,16.5,44.50,54.42,42.00,42.333333395421505,104.91666674613953
Attractant,8,7.25,0.5,7.25,5,19.33,11.5,6,68.50,34.25,50.42,59.91666677594185,36.41666662693024
Attractant,9,5,9,15.5,9,4,14.5,14,16.25,21.83,133.17,39.416666723787785,27.08333344012499
Attractant,10,0.75,8.33,0.5,12.5,10.5,11.25,8,16.58,25.58,29.83,26.66666668653488,15.91666667163372
Attractant,11,3.5,1.5,,7,4.5,4,4.5,11.67,14.50,5.17,3.75,22.25
Attractant,12,,,3.5,4.5,6,54.5,3.75,4.75,7.00,1.92,5.000000014901161,3.75
Domestic Animal,1,3,,1,,,,,,0.83,0.25,,3.16666666418314
Domestic Animal,2,,,,,10,,4.16,,,0.50,0.25,0.5
Domestic Animal,3,4.5,,0.5,8,,,,0.17,7.00,0.42,1.4166666939854622,10.5
Domestic Animal,4,,,,,,1,,2.00,4.50,0.92,,
Domestic Animal,5,,1.25,1.5,,,2.5,1,7.92,2.67,0.75,5.666666686534882,6.08333333581686
Domestic Animal,6,0.25,0.75,8.25,,,3.5,2,7.00,20.83,5.58,4,3.083333343267441
Domestic Animal,7,1,3.25,8.66,1.5,,5,0.56,18.67,4.17,24.00,28.916666708886623,8.08333334326744
Domestic Animal,8,,2.25,0.5,14.5,3,1,2.16,11.67,27.42,8.67,25.333333298563957,26.24999999254942
