Species Common Name,Total Staff Hours 2010,Total Staff Hours 2011,Total Staff Hours 2012,Total Staff Hours 2013,Total Staff Hours 2014,Total Staff Hours 2015,Total Staff Hours 2016,Total Staff Hours 2017,Total Staff Hours 2018,Total Staff Hours 2019,Total Staff Hours 2020,Total Staff Hours 2021
American Coot,,,,,,,,,0.75,1.58,0.5,
American Dipper,,,,,,,,,,,,2.25
American eel,,,,,,,0.5,,,,,0.0833333358168602
American Robin,,5.41,,0.5,1.75,3.5,,1.75,4.67,0.42,3.833333343267441,8.25
American Toad,,,4,8,,,,,,,,
American Tree Sparrow,1.33,,2,1.5,2.75,3,,,,,,
Ant,,,1,,,,,,,,1,1.9166666716337204
Arctic Fox,,,,,,,,,11.67,,,
Atlantic Salmon,0.5,,,,,,,,,,,
Atlantic White-sided Dolphin,,,,,,4,2.25,,24.25,13.00,,
Badger,4.25,1.5,,,0.5,,0.25,0.67,0.75,,12.75,0.25
Bald Eagle,4,17.41,9,1,26,3.25,6.5,7.67,10.92,21.58,33.999999672174454,22.583333358168602
Banff Spring Snail,,,,,0.5,,,,,,,
Bank Swallow,1.25,,,,,,,,3.25,1.00,,
Barn Swallow,,,1,3,2,7,3.5,6.25,8.00,9.25,6.416666656732559,4.416666686534882
Barred Owl,,7.25,2,1,2,12,39.5,3.25,2.25,9.25,2.5,15.33333333581686
Beaver,18,80.83,27.38,36,85.5,78.66,46.739999999999995,500.08,69.00,170.58,457.58333334326744,171.0833333581686
Belted Kingfisher,5,0.5,,,,,1,,,0.50,2.25,
Beluga Whale,,,,,,,,,,,,3.583333343267441
Big Brown Bat,0.5,5,,7.83,6.25,2,1,,9.50,,4.583333402872086,3
Big Skate,,,,,,,,,,0.08,1.833333358168602,1.5833333358168602
Bighorn Sheep,113.08,150,149.38,168.89999999999998,142.34,355.25,122.25,227.33,161.00,177.75,225.50000005960464,239.24999979883432
Black Bear,2022.5330000000001,2416.2200000000003,1982.1200000000001,2697.9866,2869.390000000001,2541.705,2100.323333328366,3640.58,5149.17,6110.58,2623.0833330005407,4540.500003010035
Black Duck,,,,,,,,,4.00,,,
Black Oystercatcher,,2,,,,,,,,,,
Black Rat,1,,,,,8.16,1,,,,,
Black Swift,,,,,,,,,32.00,31.00,44,24.5
Black Widow Spider,,,,0.5,,,1,,,,,
Black-footed Albatross,,,,2,,,,,,0.17,,
Black-footed Ferret,,,,1,,,,,,,,
Black-tailed deer,5,10,,,11,2,5,8.25,8.33,6.67,5.583333306014538,4
Black-tailed prairie dog,9,1.5,4.75,,3.5,6.5,4.25,20.50,2.75,1.58,2.416666716337204,
Black-throated Sparrow,0.33,,,,,,,,,,,
Blanding's Turtle,,,,4,,,,,,,,
Blue Grouse,3.5,0.5,,0.5,,,,0.25,2.00,1.58,,3
Blue Jay,,0.5,,,,,,,,,,
Blue Shark,,,,,,,,,6.17,,,
Bluefin tuna,,,,1.5,1,0.25,1,,,,,
Blue-winged Teal,,,,,,,2.5,,2.17,,,
Bluntnose Sixgill Shark,,,2,,,,,,,,,
Bobcat,,,17.17,,,,,,,0.58,,
Bohemian Waxwing,,,,,,1,,,,0.50,,2.75
Boreal Owl,,,,4,,,,,0.75,1.00,,
Broad-winged Hawk,,0.75,,,,,,,,,,
Brook Trout,,,,,,8,,14.50,0.50,,,
Brown Rat,0.25,4,,,,1,0.5,,,,,
Brown-headed cowbird,,,1,,,,,0.58,,,,
Bufflehead,,1.33,,,,,,,3.00,,,
Bullfrog,,,,,,,,1.00,,,,
Bullsnake,,,,,,2,0.5,,0.50,0.75,,5.083333373069763
Burrowing Owl,,,0.75,14.25,,2.5,4.75,,,,3.000000014901161,2.83333333581686
California Gull,,0.2,,0.75,1.5,,,,,,,
California Sea Lion,,2,,5,7,,2,0.42,6.75,3.50,6.25,0.3333333432674408
Canada Goose,2.5,16.83,6.5,14.08,35.48,49,26.66,12.67,25.50,27.75,7.000000044703484,23.333333432674408
Capelin,,,,,,,0.25,,,,,
Caribou,,14,18,22.25,12,31.25,53.5,19.50,14.50,3.08,,19
Cave Swallow,,,1,,,,,,,,,
Cedar Waxwing,2,0.5,1,0.5,1,,,8.83,3.17,1.00,1,2.416666656732559
Chestnut-backed Chickadee,,,,0.25,2,,,4.25,0.50,,,
Chipping Sparrow,,,,,0.75,,,,,1.25,2.166666656732559,1.75
Cliff Swallow,,,,,2,,,,,1.00,,3.083333343267441
Columbian Ground Squirrel,6.75,2.5,6,2.5,0.5,10.42,31.34,75.50,33.75,26.75,16.083333365619183,46.833333380520344
Common Eider,,,,,,,,,,,,1.0833333358168602
Common Gartersnake,8,0.5,13.5,16.25,,,0.5,0.17,,2.75,0.0833333358168602,13.500000037252903
Common Goldeneye,1,,5.5,1,4,2,1.5,10.00,23.50,4.33,,1.5
Common Loon,34.25,6.5,2,30,13,28.33,33.01,13.25,21.42,25.33,44.91666676849127,19.83333333581686
Common Merganser,,,,,,,1,,,,2.9166667461395264,9.5
Common Murre,1.75,,,,1,1,,,,1.58,,2
Common Nighthawk,,,,,,1,,,,8.00,5,
Common Redpoll,,,,,,1,,,,,,0.4166666567325592
Common Tern,,,,12,,,,,0.42,,,
Cooper's Hawk,7,,,8,,,,1.75,1.00,,,4.75
Cougar,165.07,617.3199999999999,208.75,327.98,276.08,232,160.66,145.33,151.58,209.08,116.66666673868895,548.3333333358169
Coyote,83.59,176.92,128.82,351.18,152.00999999999996,297.34000000000003,135.29,81.58,241.00,110.00,234.66666670143604,132.9166666790843
Crow,0.5,1.7,2,1.98,3.5,7.5,6.5,2.08,4.92,7.58,5.916666656732559,10.166666768491268
Dall's Porpoise,,,4,,,,,,3.00,,,
Dark-eyed Junco,,,0.5,5,1,7,0.5,1.33,,2.75,5.083333313465118,1.75
Deer Mouse,,,,,,,9.64,,,0.25,,23.1666669100523
DeKay's Brownsnake,8,,13,16,,,,,,,,
Domestic Bison,,,0.5,,1.5,,0.33,,28.00,,,
Domestic Cat,4.83,3.75,1,3,9.25,7.66,1,10.83,13.08,6.42,19.249999970197678,12.666666649281979
Domestic Cattle,17.5,,4.75,6,,20,,0.67,1.75,6.33,1,
Domestic Chicken,,,,,,,,,,5.50,2.75,0.5
Domestic Dog,22.480000000000004,102.57,75.16,36.75,22.72,38.5,68.88,222.67,78.25,80.50,44.83333345502615,57.83333342522383
Domestic ferret,,,,,,0.5,,,,,,
Domestic Goat,,,,,,,,,,,6,
Domestic Horse,6.25,5,7.75,30.5,3.58,8,1.5,2.17,30.58,53.58,5.666666686534882,14.75
Domestic pig,,,,,,,,,,,26.5,
Domestic pigeon,,,0.5,,,,0.5,,,,,
Domestic rat,,,,,,,,,,,,10.5
Domestic Sheep,,,,,,4,6,,,,,
Double-crested Cormorant,2.75,1.25,,16,0.9199999999999999,2,2.75,2.50,3.50,1.33,2,3.333333343267441
Downy Woodpecker,0.5,,1,,,,0.5,,,,,0.7500000074505806
Earwigs,,,,,,,,,,,,1.5
Eastern Chipmunk,,,,,0.5,,,0.33,,,1.25,
Eastern Foxsnake,8,,,12,12,,,,,,0.5,
Eastern Grey Squirrel,,,15,,,,,,,,,
Eastern Hog-nosed Snake,,,,,1.25,,,,,,,
Elk,1312.5700000000004,1146.8900000000006,860.9399999999999,1261.87,2569.66,5042.489999999998,3083.540000000001,1932.33,2119.92,2735.83,2948.833335377276,2680.2500040903687
Ermine,,,,,,,,,,8.00,4.666666686534882,1.5
Eurasian red squirrel,,,,,,,,,,,1.75,
European rabbit,1,4.15,4.82,15.99,7.5,12.05,8.629999999999999,3.67,3.17,8.42,18.08333333581686,1.4166666716337204
European Starling,0.25,,,3,1,,,,,,1.0833333358168602,0.416666679084301
Field Sparrow,,,0.5,2,1,1,,,,,,
Fin Whale,,,,,,,,,,2.50,,33.5
Fisher,1,,,,,,,,,,,0.1666666716337204
Five-lined Skink Carolinian,,,,,,2,,,,,,
Franklin's Gull,,,,,,,,,,3.42,1.25,
