Species Common Name,Animal Behaviour,Total Incidents 2010,Total Incidents 2011,Total Incidents 2012,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Total Incidents 2018,Total Incidents 2019,Total Incidents 2020,Total Incidents 2021
Badger,Contact-Pet,,,,,,,1,,,,,
Barn Swallow,Physical or Aggressive Display,,,,,,,1,,,,1,
Barred Owl,Physical or Aggressive Display,,,,,,,3,,,,,
Beaver,Contact-Property,4,6,1,,,4,1,,,,1,
Beaver,Escort (Follow-Flank),,,,,,,,,,,2,
Big Brown Bat,Contact-People,,,,1,,,,,1,,,
Bighorn Sheep,Bluff Charge,,,,,1,,,,1,,,1
Bighorn Sheep,Chase,,,,,,,,,1,,,
Bighorn Sheep,Contact-People,,,,,,,,1,,1,1,
Bighorn Sheep,Contact-Pet,,,,,,,,,,,,1
Bighorn Sheep,Contact-Property,2,1,1,1,2,2,2,4,,,1,
Bighorn Sheep,Escort (Follow-Flank),,,,,,,,1,,,,
Bighorn Sheep,Physical or Aggressive Display,,1,,1,1,,,1,,,,
Black Bear,Bluff Charge,6,14,12,11,16,8,19,10,20,20,6,12
Black Bear,Chase,1,3,1,1,1,,1,1,2,1,3,1
Black Bear,Contact-People,2,1,1,,1,2,3,,2,4,1,2
Black Bear,Contact-Pet,,,,,,1,,,,1,,1
Black Bear,Contact-Property,73,71,57,48,42,57,44,27,33,47,33,62
Black Bear,Escort (Follow-Flank),1,6,4,1,3,2,6,1,3,3,7,
Black Bear,Physical or Aggressive Display,3,12,10,4,8,10,10,7,7,8,3,5
Black Bear,Predatory Approach,,,,,,,,1,,1,1,
Black Widow Spider,Contact-People,,,,1,,,,,,,,
Black-tailed prairie dog,Chase,,,,,,,1,,,,,
Blue Grouse,Contact-People,1,1,,,,,,,,,,
Blue Grouse,Contact-Property,,,,,,,,,,,,1
Blue Grouse,Physical or Aggressive Display,,,,,,,,1,,1,,
California Sea Lion,Contact-People,,,,,,,,,1,,,
Canada Goose,Physical or Aggressive Display,,,,,,,,,1,,,
Caribou,Physical or Aggressive Display,,,,,,,,1,,,,
Columbian Ground Squirrel,Contact-People,,,,1,,,,,,,,1
Columbian Ground Squirrel,Contact-Property,,1,,1,,2,3,,1,,1,
Common Loon,Physical or Aggressive Display,,,,,,,,,,,,1
Cougar,Bluff Charge,,,,1,1,,,,,,,
Cougar,Chase,,,,,,,,1,,,1,
Cougar,Contact-People,,2,,,1,,,,,,,
Cougar,Contact-Pet,,2,,,1,2,,1,,,,
Cougar,Contact-Property,3,2,,,,,,,,,,
Cougar,Escort (Follow-Flank),3,6,,2,3,1,1,,2,,2,1
Cougar,Physical or Aggressive Display,,,,,,1,,,,,,4
Cougar,Predatory Approach,1,2,,,2,3,1,,,,,
Coyote,Bluff Charge,,,,4,,,,,,,,1
Coyote,Chase,,,2,1,1,,1,,2,,1,1
Coyote,Contact-People,,,,3,1,2,,,,,,
Coyote,Contact-Pet,,,2,2,3,2,,,4,,7,1
Coyote,Contact-Property,1,,,2,,2,1,4,3,2,2,2
Coyote,Escort (Follow-Flank),2,4,1,11,5,3,2,2,4,3,7,4
Coyote,Physical or Aggressive Display,3,3,5,5,1,1,1,,3,1,9,1
Coyote,Predatory Approach,,1,,2,,,,,,1,4,
Crow,Contact-Property,,,,,,,,,,,1,
Deer Mouse,Contact-Property,,,,,,,1,,,,,
Domestic Dog,Bluff Charge,,1,,,,,,,,,,
Domestic Dog,Chase,,2,2,3,2,2,6,3,1,3,7,7
Domestic Dog,Physical or Aggressive Display,1,,,,,,2,,,,1,
Domestic Dog,Predatory Approach,,,,,,1,1,,,,,
Downy Woodpecker,Contact-Property,1,,,,,,,,,,,
Eastern Chipmunk,Contact-People,,,,,,,,1,,,,
Elk,Bluff Charge,74,61,40,53,107,104,130,88,102,128,111,98
Elk,Chase,,3,1,1,3,,2,5,7,1,7,7
Elk,Contact-People,,,,,3,6,6,6,4,3,4,
Elk,Contact-Pet,1,,2,,,1,3,1,1,,,3
Elk,Contact-Property,8,5,2,4,9,12,21,6,6,9,11,8
Elk,Escort (Follow-Flank),,1,,,1,2,2,2,1,,4,8
Elk,Physical or Aggressive Display,29,15,66,15,29,39,36,30,21,45,25,52
Ermine,Contact-Property,,,,,,,,,,,1,
Field Sparrow,Contact-Property,,,,,1,,,,,,,
Golden-mantled Ground Squirrel,Contact-Property,,,1,,,,,,,,,
Gray Jay,Contact-Property,,,,,,,,,,1,,
Great Blue Heron,Physical or Aggressive Display,,,,,,,,,,1,,
Grizzly Bear,Bluff Charge,16,19,17,30,37,19,44,13,9,17,24,20
Grizzly Bear,Chase,1,4,1,3,2,1,,1,8,1,1,2
Grizzly Bear,Contact-People,,,,,1,1,,,2,,1,
Grizzly Bear,Contact-Pet,,,1,,,,,,,,,
Grizzly Bear,Contact-Property,7,8,6,4,11,14,8,12,2,4,6,6
Grizzly Bear,Escort (Follow-Flank),,5,3,2,2,7,5,3,1,2,5,1
Grizzly Bear,Physical or Aggressive Display,7,4,3,3,10,11,9,4,9,4,8,2
Herring Gull,Contact-People,,,,1,,,,,,,,
Hoary Marmot,Contact-People,,,,,,,,,,,1,
Hoary Marmot,Contact-Property,,,,,,1,1,,,,,1
Least Chipmunk,Contact-Property,,,,,,,,,,,,1
Least Weasel,Contact-Property,,,,,,,1,,,,,
Little Brown Myotis,Contact-People,,1,,,,,,,,,,
Little Brown Myotis,Contact-Property,,1,,,,,,,,,1,
Little Brown Myotis,Physical or Aggressive Display,,,,,,,,,1,,,
Lynx,Chase,,1,,,,,,,,,,
Lynx,Predatory Approach,,,,,,,,,1,,,
Magpie,Contact-Property,,,2,,,,,1,,1,3,
Magpie,Physical or Aggressive Display,,,,,,3,,,,,,1
Marten,Contact-People,,,,1,,,,,,1,,1
Marten,Contact-Property,4,1,2,,1,1,2,,2,,7,9
Marten,Physical or Aggressive Display,,1,2,,,1,,2,,,3,2
Marten,Predatory Approach,,,,,,,,,,,,1
Massasauga,Contact-People,1,2,,,,,,,,,,1
Massasauga,Contact-Pet,1,,1,,,,,1,,,,
Massasauga,Physical or Aggressive Display,,,,,,,1,,,,,
Merlin,Contact-People,,,,,,,,,,1,,
Mink,Contact-Property,,,,,,2,,,,,,
Moose,Bluff Charge,1,1,1,,1,,,4,1,6,1,1
Moose,Contact-People,,,,,,,,,,,1,
Moose,Contact-Property,2,,,2,1,,1,,,1,2,
Moose,Physical or Aggressive Display,1,,,2,,,,3,,,1,1
Mountain Goat,Chase,,,,,,,1,,,,,
Mountain Goat,Contact-Property,,,,,,,,,,,,1
Mule Deer,Bluff Charge,21,4,6,1,,3,1,4,2,5,4,1
Mule Deer,Chase,,,1,,,1,1,3,3,5,5,6
Mule Deer,Contact-People,2,,,,,,1,,,,,
Mule Deer,Contact-Pet,5,1,,,,,,2,,,,1
Mule Deer,Contact-Property,2,1,,,1,,1,2,2,2,1,2
Mule Deer,Escort (Follow-Flank),1,,,,,2,1,1,,2,2,1
Mule Deer,Physical or Aggressive Display,26,13,5,5,5,1,11,7,,5,8,22
Muskrat,Contact-Property,,,,,,,,,,,,1
None,Bluff Charge,,,,,,,1,,,,,
None,Contact-Property,,,1,,1,,,,,,,
None,Physical or Aggressive Display,,,,,2,,2,,,,,
Northern Pygmy-Owl,Contact-Property,,,,,,,,,,,1,
Osprey,Contact-Property,,1,,,,,,,,,,
Pileated Woodpecker,Contact-Property,,,,,1,,,,,,,1
Pine Grosbeak,Physical or Aggressive Display,,,,,,1,,,,,,
Plains Bison,Bluff Charge,1,1,,1,1,6,4,2,2,1,5,3
Plains Bison,Chase,,,,,,,,,1,1,,
Plains Bison,Contact-People,1,1,,,,,,,2,,1,1
Plains Bison,Contact-Property,,1,,2,,2,1,,1,,,
Plains Bison,Escort (Follow-Flank),,,,,1,,,,,,,
Plains Bison,Physical or Aggressive Display,,,,,5,4,7,1,,9,,5
Polar Bear,Contact-Property,4,1,,,1,,1,,1,1,,
Porcupine,Contact-Pet,,,,,,1,,,,,,1
Porcupine,Contact-Property,,,1,,,2,,,,,1,1
Porcupine,Physical or Aggressive Display,,,,1,,,,,,,,
Prairie Rattlesnake,Contact-People,,2,1,,,,1,1,,,,
Prairie Rattlesnake,Physical or Aggressive Display,,,1,,,,2,,1,1,2,
Raccoon,Contact-Pet,,,1,,,,,,,,,
Raccoon,Contact-Property,4,7,2,11,4,1,7,2,2,1,2,4
Raccoon,Physical or Aggressive Display,,,1,1,,1,1,1,,,,
Raven,Contact-Property,,,,,,,,6,8,11,15,1
Raven,Physical or Aggressive Display,1,,,,,,,,,,,
Red Fox,Chase,,,,,,,,,3,,,
Red Fox,Contact-People,,,,,,,,,,1,1,
Red Fox,Contact-Pet,,,,1,,,,,,,,
Red Fox,Contact-Property,1,,2,,,,,,1,6,14,7
Red Fox,Escort (Follow-Flank),,,2,,,4,,,1,,1,1
Red Fox,Physical or Aggressive Display,,,2,,,,,,,,,2
Red Squirrel,Contact-People,,,,1,1,,,3,,3,1,2
Red Squirrel,Contact-Property,1,3,3,1,2,,11,1,2,3,1,
Red-necked Grebe,Physical or Aggressive Display,,,,,,,,,1,,,
Richardson's Ground Squirrel,Contact-People,,,,,,,,1,2,,,2
Richardson's Ground Squirrel,Contact-Property,,,1,,,,2,,,1,,1
Rock Pigeon,Contact-Property,,,,,,,,,,,,3
Ruffed Grouse,Chase,,,,,,,,,1,,,
Ruffed Grouse,Contact-People,,,,,,,,1,,,1,
Sharp-shinned Hawk,Contact-People,,,,,,,,,,1,,
Sharp-shinned Hawk,Physical or Aggressive Display,,,,,,,,,1,,,
Skunk,Contact-Pet,,1,,,,,,,,,,
Skunk,Contact-Property,,,,,,,,1,,,,
Skunk,Physical or Aggressive Display,,,,,,,,,,,,1
Smooth Greensnake,Physical or Aggressive Display,,,,1,,,,,,,,
Spruce Grouse,Contact-Property,,,,,,,,,,,,2
Spruce Grouse,Physical or Aggressive Display,,,,3,,,,,,,,
Unknown,Bluff Charge,,,,,,1,,,,,,
Unknown,Contact-People,,,1,,,,,,,,1,
Unknown,Contact-Pet,,,,,,1,,,,,,
