Protected Heritage Area,Species Common Name,Animal Behaviour,Total Animals 2010,Total Animals 2011,Total Animals 2012,Total Animals 2013,Total Animals 2014,Total Animals 2015,Total Animals 2016,Total Animals 2017,Total Animals 2018,Total Animals 2019,Total Animals 2020,Total Animals 2021
Aulavik National Park of Canada,Wolf,Contact-Property,,,,,,,,,2,,,
Banff National Park of Canada,Bighorn Sheep,Bluff Charge,,,,,1,,,,,,,1
Banff National Park of Canada,Bighorn Sheep,Chase,,,,,,,,,1,,,
Banff National Park of Canada,Bighorn Sheep,Contact-Property,,,,,24,,1,3,,,,
Banff National Park of Canada,Bighorn Sheep,Physical or Aggressive Display,,15,,,,,,,,,,
Banff National Park of Canada,Black Bear,Bluff Charge,,12,1,1,1,,5,1,3,2,1,1
Banff National Park of Canada,Black Bear,Chase,,1,,1,,,,,1,,,
Banff National Park of Canada,Black Bear,Contact-People,,,,,,,,,,1,,
Banff National Park of Canada,Black Bear,Contact-Property,3,2,3,7,2,2,1,10,2,7,6,3
Banff National Park of Canada,Black Bear,Escort (Follow-Flank),,,1,,,,1,,,2,3,
Banff National Park of Canada,Black Bear,Physical or Aggressive Display,1,6,1,3,,3,5,2,1,1,1,1
Banff National Park of Canada,Blue Grouse,Contact-People,,1,,,,,,,,,,
Banff National Park of Canada,Blue Grouse,Contact-Property,,,,,,,,,,,,1
Banff National Park of Canada,Blue Grouse,Physical or Aggressive Display,,,,,,,,,,1,,
Banff National Park of Canada,Columbian Ground Squirrel,Contact-People,,,,10,,,,,,,,
Banff National Park of Canada,Columbian Ground Squirrel,Contact-Property,,,,1,,11,27,,,,,
Banff National Park of Canada,Common Loon,Physical or Aggressive Display,,,,,,,,,,,,1
Banff National Park of Canada,Cougar,Bluff Charge,,,,1,,,,,,,,
Banff National Park of Canada,Cougar,Chase,,,,,,,,1,,,,
Banff National Park of Canada,Cougar,Contact-Pet,,,,,,1,,,,,,
Banff National Park of Canada,Cougar,Escort (Follow-Flank),,7,,1,1,1,1,,1,,1,
Banff National Park of Canada,Cougar,Physical or Aggressive Display,,,,,,,,,,,,3
Banff National Park of Canada,Coyote,Bluff Charge,,,,4,,,,,,,,
Banff National Park of Canada,Coyote,Chase,,,2,,1,,,,2,,1,
Banff National Park of Canada,Coyote,Contact-People,,,,3,,2,,,,,,
Banff National Park of Canada,Coyote,Contact-Pet,,,1,1,3,2,,,4,,5,
Banff National Park of Canada,Coyote,Contact-Property,1,,,2,,1,3,4,3,1,2,2
Banff National Park of Canada,Coyote,Escort (Follow-Flank),1,3,1,10,4,1,2,2,5,3,6,2
Banff National Park of Canada,Coyote,Physical or Aggressive Display,8,3,7,6,2,,,,2,1,11,1
Banff National Park of Canada,Coyote,Predatory Approach,,1,,2,,,,,,,2,
Banff National Park of Canada,Deer Mouse,Contact-Property,,,,,,,1,,,,,
Banff National Park of Canada,Domestic Dog,Chase,,1,,,,,1,1,,1,,
