Species Common Name,Animal Attractant,Total Animals 2010,Total Animals 2011,Total Animals 2012,Total Animals 2013,Total Animals 2014,Total Animals 2015,Total Animals 2016,Total Animals 2017,Total Animals 2018,Total Animals 2019,Total Animals 2020,Total Animals 2021
American Tree Sparrow,Garbage,,,,,,1,,,,,,
Barred Owl,Human food,,,,,,,,,1,,,
Bighorn Sheep,Domestic animal,,,5,,6,,1,,,,,
Bighorn Sheep,Domestic grass,,,,,,,,1,,,,
Bighorn Sheep,"Fruit tree, shrub or garden",,,,,1,,,,,,,
Bighorn Sheep,Garbage,,,,,,1,,1,,,,
Bighorn Sheep,Grain,,,,,,,,3,,,4,2
Bighorn Sheep,Human food,,3,34,1,5,1,8,2,1,,,1
Bighorn Sheep,Road salt,1,41,4,1,108,14,65,2,34,15,18,19
Black Bear,Compost,1,,,1,,,,,,1,,2
Black Bear,Domestic animal,4,6,4,5,7,9,1,3,3,7,2,1
Black Bear,Domestic grass,10,6,,4,9,6,13,15,27,52,52,132
Black Bear,"Fruit tree, shrub or garden",8,17,30,7,43,9,22,16,11,97,4,148
Black Bear,Garbage,43,42,24,26,32,42,13,22,28,34,13,29
Black Bear,Grain,17,22,16,15,38,45,33,69,70,92,26,25
Black Bear,Human food,91,97,117,59,67,89,88,49,62,73,58,62
Black Rat,Human food,,,,,,,1,,,,,
Blue Grouse,Human food,,,,,,,,,,,,1
Bobcat,Garbage,,,1,,,,,,,,,
Canada Goose,Domestic grass,,,,,532,412,116,1,,,,3
Canada Goose,Garbage,,,,,,,,,,,1,1
Canada Goose,Human food,,,,,,2,,,,,,
Cedar Waxwing,"Fruit tree, shrub or garden",,,,,,,,,,,,1
Chipping Sparrow,"Fruit tree, shrub or garden",,,,,,,,,,1,,
Columbian Ground Squirrel,Domestic grass,,,,,,,,,2,1,3,1
Columbian Ground Squirrel,"Fruit tree, shrub or garden",,,,,,,,,,,,1
Columbian Ground Squirrel,Garbage,,,,,,,26,,,,,2
Columbian Ground Squirrel,Human food,1,1,,10,,1,,1,3,,1,1
Common Redpoll,Road salt,,,,,,300,,,,,,
Cougar,Domestic animal,7,12,7,4,16,6,4,2,4,2,,2
Cougar,Domestic grass,,1,,,,,,,,,,
Cougar,Human food,1,1,,,1,,4,,,,,
Coyote,Compost,,,,,,,,,,,,1
Coyote,Domestic animal,14,7,25,17,12,12,9,2,14,7,20,2
Coyote,"Fruit tree, shrub or garden",,1,,,,,,,,,,
Coyote,Garbage,1,3,,2,4,5,2,4,2,3,1,1
Coyote,Human food,2,2,3,11,33,28,3,2,5,,4,2
Crow,Grain,,,,,,,,,,1,,
Crow,Human food,,,,,,5,,,,,1,
Domestic Cat,Domestic animal,,4,,,,,1,,,,,
Domestic Dog,Domestic animal,2,7,,,,2,11,,,,,3
Domestic Horse,Domestic animal,,2,,,,,,,,,,
Eastern Chipmunk,Human food,,,,,,,,1,,,1,
Elk,Compost,,,,,1,,,1,1,,,1
Elk,Domestic animal,4,12,10,4,28,40,47,12,16,26,11,12
Elk,Domestic grass,482,541,10,343,34,1070,41,233,217,169,348,333
Elk,"Fruit tree, shrub or garden",372,435,466,437,884,676,1282,9,12,4,7,7
Elk,Garbage,,,,,1,1,,,,2,,1
Elk,Grain,1,1,5,3,3,55,100,11,2,20,34,6
Elk,Human food,12,,3,5,9,11,8,,1,2,,2
Elk,Road salt,,,,50,3,,,,,3,2,2
European rabbit,"Fruit tree, shrub or garden",,,,1,,1,2,,,,,
Golden-mantled Ground Squirrel,Garbage,,,,,,,,,,,1,
Golden-mantled Ground Squirrel,Human food,,,1,,,,,,,2,,
Gray Jay,Human food,,,,,,,,,,1,,
Grizzly Bear,Compost,,,,,,,,,1,,,
Grizzly Bear,Domestic animal,1,3,2,5,2,6,9,3,2,3,1,1
Grizzly Bear,Domestic grass,1,1,1,18,3,2,,26,11,39,30,80
Grizzly Bear,"Fruit tree, shrub or garden",,15,28,19,45,7,22,,,,,
Grizzly Bear,Garbage,1,4,1,4,6,3,2,3,2,,,1
Grizzly Bear,Grain,21,26,7,13,13,15,41,22,7,38,5,36
Grizzly Bear,Human food,5,11,10,12,16,19,16,9,9,6,4,4
Hoary Marmot,Garbage,,,,,,,,,,1,,
House Sparrow,Human food,,,3,,,,,,,,,
Least Chipmunk,"Fruit tree, shrub or garden",,,,,,,,,,1,,
Least Chipmunk,Human food,1,,,,1,1,,,1,,,2
Lynx,Domestic animal,,1,,,,,,,1,1,,
Magpie,Garbage,,,,,,2,6,2,,4,2,1
Magpie,Human food,,,,,,1,2,1,1,,2,
Mallard,Grain,,,,,,,,,,,1,
Marten,Domestic animal,,,,,,1,,1,,,,3
Marten,Garbage,2,,4,1,2,1,,,,2,8,3
Marten,Human food,2,1,1,1,,3,1,3,9,2,7,11
Massasauga,Domestic animal,1,,,,,,,,,,,
Mink,Human food,,,,,,2,,,,,,
Moose,Compost,,,,,,,,1,,,,
Moose,Domestic animal,,,,,,,,,,,1,
Moose,Domestic grass,,,,1,2,2,,,,,,
Moose,"Fruit tree, shrub or garden",,1,,,,,,,,,,
Moose,Grain,,,,,,1,,,,,,
Moose,Road salt,,,2,2,,,,,4,13,27,6
Mountain Goat,Road salt,27,77,10,36,47,93,33,,2,1,3,11
Mule Deer,Compost,1,,,,,,,,,2,,
