Species Common Name,Activity Type,Month,Total Animals 2010,Total Animals 2011,Total Animals 2012,Total Animals 2013,Total Animals 2014,Total Animals 2015,Total Animals 2016,Total Animals 2017,Total Animals 2018,Total Animals 2019,Total Animals 2020,Total Animals 2021
American Coot,Driving,4,,,,,,,,,3,,,
American Robin,Driving,6,,,,,,,,,,1,,
American Robin,Driving,8,,,,,,,,1,,,,
American Toad,Driving,3,,,1,,,,,,,,,
American Toad,Driving,4,,,,1,,,,,,,,
Badger,Driving,5,,,,,,,,1,,,,
Badger,Driving,7,,,,,,,,,,,1,1
Badger,Driving,8,,1,,,,,,,,,,
Badger,Driving,10,,,,,,,,,,,1,
Bald Eagle,Driving,4,,,,,,,,,,,1,
Bald Eagle,Driving,7,,1,,,,,,,,,,
Barred Owl,Driving,2,,,,,,,,,,,,1
Barred Owl,Driving,6,,,,,,,2,1,1,,,
Barred Owl,Driving,7,,,,,,,,,,,1,
Barred Owl,Driving,8,,,,,,1,,1,,,,
Barred Owl,Driving,9,,,1,,,,,,,,,
Barred Owl,Driving,11,,,,,1,,,,,,,
Beaver,Driving,4,,,,,,,1,,,,,2
Beaver,Driving,5,,,,1,,1,1,2,,2,1,1
Beaver,Driving,6,,,,,,,,1,,,,
Beaver,Driving,7,,,5,,,,,1,,1,,1
Beaver,Driving,8,,,,,,,4,,,1,1,
Beaver,Driving,9,,,,,,,1,,,,,
Beaver,Driving,10,,,1,,,,,1,,,,
Beaver,Driving,11,,,,,,,,,2,,,
Bighorn Sheep,Driving,1,1,12,1,3,,,,1,,1,1,1
Bighorn Sheep,Driving,2,1,,,,5,,,2,,,,
Bighorn Sheep,Driving,3,1,3,2,4,2,,,,,,3,
Bighorn Sheep,Driving,4,,,,2,7,,2,3,1,1,,1
Bighorn Sheep,Driving,5,2,1,1,2,2,,1,,,,1,1
Bighorn Sheep,Driving,6,4,,1,,,1,,1,,1,,
Bighorn Sheep,Driving,7,2,1,2,1,,1,2,1,,2,4,
Bighorn Sheep,Driving,8,,2,4,2,,,1,,1,,,
Bighorn Sheep,Driving,9,2,,,1,1,,,1,2,,,
