Species Common Name,Cause of Animal Health Status,Total Animals 2010,Total Animals 2011,Total Animals 2012,Total Animals 2013,Total Animals 2014,Total Animals 2015,Total Animals 2016,Total Animals 2017,Total Animals 2018,Total Animals 2019,Total Animals 2020,Total Animals 2021
American Coot,Collision,,,,,,,,,3,,,
American Robin,Collision,,,,,,,,1,1,1,,
American Toad,Collision,,,1,1,,,,,,,,
Atlantic White-sided Dolphin,Poaching,,,,,,2,,,,,,
Badger,Collision,,1,,,,,,1,,,2,1
Bald Eagle,Collision,,1,,,,,,,,1,1,1
Bald Eagle,Entangle-Entrapment,,,1,,,,1,,,,,
Bank Swallow,Collision,,,,,,,,,,1,,
Barred Owl,Collision,,,1,,1,1,2,2,1,,2,1
Beaver,Collision,,,6,1,1,1,7,5,2,4,2,4
Beaver,Entangle-Entrapment,,,,,,1,,1,,,,
Beaver,Hunting - Trapping,,2,,,3,,,,,,,
Beaver,Management Destruction,1,13,,,,1,5,,,8,2,6
Big Brown Bat,Entangle-Entrapment,1,1,,,1,,,,,,,
Bighorn Sheep,Collision,25,32,26,27,23,14,17,22,16,16,20,18
Bighorn Sheep,Entangle-Entrapment,,,1,,,,,,,,,1
Bighorn Sheep,Management Destruction,1,,,,,,,,,,,1
Black Bear,Collision,20,20,25,13,49,22,27,30,33,26,38,23
Black Bear,Entangle-Entrapment,,1,,,,,,,,,,
Black Bear,Hunting - Trapping,,,1,1,,,,,,,,1
Black Bear,Management Destruction,6,6,3,6,7,5,2,5,6,9,3,6
Black Bear,Poaching,,,,1,1,,,,,,,
Black Rat,Entangle-Entrapment,,,,,,1,,,,,,
Black-tailed deer,Collision,3,2,,,2,1,,1,,,1,1
Black-tailed prairie dog,Collision,,,4,,1,3,14,16,7,6,9,
Black-tailed prairie dog,Poaching,,,,,,1,,,,,,
Blue Grouse,Collision,,,,1,,,,1,,1,,
Bobcat,Collision,,,,,,,,,,1,,
Bohemian Waxwing,Collision,,,,,,3,,,,,,
Boreal Owl,Collision,,,,1,,,,,1,,,
Brown Rat,Management Destruction,,9,,,,,,,,,,
Bufflehead,Entangle-Entrapment,,,,,,,,,1,,,
Bullfrog,Collision,,,,,,,,1,,,,
Bullsnake,Collision,,,,,,,2,,1,,,
Burrowing Owl,Collision,,,,2,,1,1,,,,,
California Gull,Management Destruction,,,,1,,,,,,,,
California Sea Lion,Poaching,,,,,,,,,,1,,
Canada Goose,Collision,,1,1,1,5,6,8,2,2,4,2,8
Canada Goose,Entangle-Entrapment,,,,,,,,1,,,,
Canada Goose,Hunting - Trapping,,,,5,,,,,,,,
Canada Goose,Management Destruction,,1,,1,,,,,,,,
Caribou,Collision,,1,,1,,1,,,1,,,
Cedar Waxwing,Collision,,,6,,,,,,1,5,,
Chipping Sparrow,Collision,,,,,,,,,,1,,
Columbian Ground Squirrel,Collision,1,,,,,,,2,1,3,1,9
Columbian Ground Squirrel,Entangle-Entrapment,,,,,,,,,2,1,,
Common Gartersnake,Collision,13,1,7,5,,,1,,,2,,1
Common Goldeneye,Collision,,,2,,,,,,,,,
Common Goldeneye,Entangle-Entrapment,,,,,,,,,9,,,
Common Loon,Collision,,,,,,,,,,,1,
