Incident Type,Month,Total Incidents 2010,Total Incidents 2011,Total Incidents 2012,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Total Incidents 2018,Total Incidents 2019,Total Incidents 2020,Total Incidents 2021
Attractant,1,5,,4,2,5,2,2,4,5,6,6,3
Attractant,2,3,1,5,3,8,4,3,1,2,6,6,7
Attractant,3,4,,1,3,10,4,5,3,3,9,11,13
Attractant,4,6,3,4,5,14,8,6,5,7,9,11,13
Attractant,5,6,7,5,6,16,11,10,13,20,13,9,15
Attractant,6,6,3,4,9,12,4,8,13,22,15,20,32
Attractant,7,4,3,7,7,6,12,10,27,35,31,29,43
Attractant,8,6,1,6,4,16,7,3,32,30,31,56,29
Attractant,9,2,2,8,3,4,8,7,16,10,30,26,20
Attractant,10,2,5,1,6,8,8,5,10,6,13,8,9
Attractant,11,3,2,,3,3,2,2,4,6,4,2,8
Attractant,12,,,3,3,6,5,3,3,2,4,4,3
Domestic Animal,1,1,,1,,,,,,1,1,,3
Domestic Animal,2,,,,,1,,2,,,1,1,1
Domestic Animal,3,1,,1,1,,,,1,1,1,3,1
Domestic Animal,4,,,,,,1,,2,1,1,,
Domestic Animal,5,,2,2,,,2,1,7,7,2,3,4
Domestic Animal,6,1,2,3,,,1,1,6,6,5,4,4
Domestic Animal,7,1,3,7,1,,2,1,17,6,8,6,5
Domestic Animal,8,,3,1,3,1,1,4,9,6,7,15,7
Domestic Animal,9,,5,,,,,1,6,1,6,5,3
Domestic Animal,10,,,,,,1,2,4,2,2,7,1
Domestic Animal,11,1,2,,1,,,,2,2,1,,1
Domestic Animal,12,1,1,2,1,,,,,,1,,
Harassment,1,1,1,2,1,3,1,2,,1,3,4,
Harassment,2,1,3,2,2,1,2,3,1,,,,5
Harassment,3,2,4,6,6,,1,3,,,3,1,3
Harassment,4,1,2,3,2,1,3,5,3,1,2,1,6
Harassment,5,8,13,12,14,17,32,23,17,19,10,4,14
Harassment,6,27,36,16,13,17,25,34,12,13,13,16,11
Harassment,7,28,28,21,9,25,24,38,23,12,29,19,12
Harassment,8,32,18,20,13,14,13,35,7,8,12,14,8
Harassment,9,9,6,5,4,17,14,21,11,6,5,3,8
Harassment,10,6,2,6,5,6,5,9,8,,5,5,2
Harassment,11,1,3,6,3,3,2,1,3,1,2,1,
Harassment,12,5,3,1,3,2,1,6,2,1,,1,
Highway Fence Intrusion,1,1,2,4,8,6,4,2,1,,1,1,2
Highway Fence Intrusion,2,1,3,4,2,10,1,1,3,2,1,1,
Highway Fence Intrusion,3,,,2,4,3,8,1,1,1,3,1,
Highway Fence Intrusion,4,,3,6,5,1,3,10,1,,1,3,2
Highway Fence Intrusion,5,8,10,17,24,15,23,24,19,6,20,48,53
Highway Fence Intrusion,6,23,39,19,25,23,22,18,9,10,23,34,46
Highway Fence Intrusion,7,20,14,20,22,28,28,23,16,19,43,19,42
Highway Fence Intrusion,8,9,13,12,13,10,9,16,4,5,17,9,2
Highway Fence Intrusion,9,3,2,6,3,9,4,8,4,19,5,6,2
