Species Common Name,Total Incidents 2010,Total Incidents 2011,Total Incidents 2012,Total Incidents 2013,Total Incidents 2014,Total Incidents 2015,Total Incidents 2016,Total Incidents 2017,Total Incidents 2018,Total Incidents 2019,Total Incidents 2020,Total Incidents 2021
American Coot,,,,,,,,,3,2,1,
American Dipper,,,,,,,,,,,,1
American eel,,,,,,,1,,,,,1
American Robin,,4,,1,2,3,,1,7,2,4,4
American Toad,,,1,1,,,,,,,,
American Tree Sparrow,1,,2,2,3,3,,,,,,
Ant,,,1,,,,,,,,1,2
Arctic Fox,,,,,,,,,1,,,
Atlantic Salmon,1,,,,,,,,,,,
Atlantic White-sided Dolphin,,,,,,2,2,,3,3,,
Badger,2,1,,,1,,1,2,1,,4,1
Bald Eagle,2,6,3,1,8,3,5,9,6,7,5,9
Banff Spring Snail,,,,,1,,,,,,,
Bank Swallow,2,,,,,,,,2,1,,
Barn Swallow,,,1,3,1,2,4,4,8,4,3,5
Barred Owl,,2,2,1,2,3,6,4,2,2,3,4
Beaver,8,20,14,19,64,24,24,105,23,43,75,15
Belted Kingfisher,2,1,,,,,2,,,1,1,
Beluga Whale,,,,,,,,,,,,2
Big Brown Bat,1,2,,5,5,2,1,,2,,3,3
Big Skate,,,,,,,,,,1,2,2
Bighorn Sheep,57,67,80,78,72,84,71,103,114,122,119,164
Black Bear,793,1095,1180,1004,1471,1233,1290,1822,2374,3724,1564,2278
Black Duck,,,,,,,,,1,,,
Black Oystercatcher,,1,,,,,,,,,,
Black Rat,1,,,,,3,1,,,,,
Black Swift,,,,,,,,,1,1,2,1
Black Widow Spider,,,,1,,,1,,,,,
Black-footed Albatross,,,,2,,,,,,1,,
Black-footed Ferret,,,,1,,,,,,,,
Black-tailed deer,3,4,,,5,1,1,9,9,5,5,3
Black-tailed prairie dog,4,1,8,,2,5,17,16,8,6,11,
Black-throated Sparrow,1,,,,,,,,,,,
Blanding's Turtle,,,,1,,,,,,,,
Blue Grouse,2,1,,1,,,,2,1,3,,1
Blue Jay,,1,,,,,,,,,,
Blue Shark,,,,,,,,,2,,,
Bluefin tuna,,,,1,1,1,1,,,,,
Blue-winged Teal,,,,,,,1,,1,,,
